x; y; z; vx; vy; vz; phi; teta; psi; omegaX; omegaY; omegaZ
-0.042193;-0.046154;-0.054440;-1.004081;-1.001890;-0.997310;-0.019994;-1.145572;-1.529394;-1.718869;-0.050000;-0.023705
-0.033555;-0.041838;-0.056288;-1.304965;-1.297838;-1.296838;-0.006664;-0.381832;-1.063212;-2.203774;-0.064922;-0.029452
-0.030183;-0.043864;-0.052828;-1.572977;-1.554044;-1.559236;0.000001;0.000057;-0.807022;-2.620971;-0.078053;-0.033031
-0.027259;-0.049253;-0.059508;-1.788565;-1.754879;-1.766227;0.002858;0.163725;-0.830639;-2.958613;-0.088447;-0.036762
-0.021877;-0.064392;-0.057498;-1.961351;-1.897034;-1.923369;0.004000;0.229192;-0.739643;-3.207211;-0.096595;-0.036625
-0.018923;-0.073198;-0.055573;-2.093856;-2.005903;-2.041733;0.004445;0.254651;-0.791866;-3.408112;-0.102728;-0.041556
-0.020508;-0.075524;-0.049932;-2.190966;-2.095485;-2.139280;0.004615;0.264443;-0.967285;-3.566323;-0.107369;-0.047604
-0.020418;-0.076748;-0.059939;-2.271194;-2.161056;-2.199608;0.004681;0.268194;-1.157929;-3.685528;-0.110931;-0.051745
-0.017302;-0.084216;-0.051043;-2.340623;-2.196907;-2.258091;0.004706;0.269627;-1.355853;-3.776967;-0.113648;-0.055345
-0.015939;-0.080843;-0.057637;-2.393376;-2.238381;-2.294298;0.004715;0.270175;-1.857172;-3.868144;-0.115506;-0.068406
-0.013125;-0.078065;-0.059403;-2.444183;-2.259445;-2.318575;0.004719;0.270385;-2.404732;-3.933314;-0.116969;-0.076865
-0.017072;-0.081117;-0.058110;-2.481353;-2.257055;-2.339500;0.004720;0.270465;-2.776099;-3.969408;-0.118228;-0.075233
-0.027943;-0.077489;-0.059226;-2.506049;-2.258600;-2.353795;0.004721;0.270495;-3.440276;-4.023420;-0.118914;-0.087571
-0.030124;-0.082399;-0.076161;-2.548449;-2.234495;-2.342219;0.004721;0.270507;-3.736802;-4.029664;-0.119802;-0.078950
-0.022291;-0.087302;-0.067296;-2.598036;-2.210914;-2.345074;0.004721;0.270511;-3.855464;-4.031686;-0.120508;-0.070964
-0.024280;-0.092163;-0.061343;-2.622136;-2.190234;-2.356499;0.004721;0.270513;-3.889497;-4.031990;-0.121061;-0.064286
-0.023554;-0.109159;-0.059927;-2.645259;-2.154545;-2.365157;0.004721;0.270514;-3.582201;-4.009099;-0.121715;-0.047382
-0.021800;-0.113336;-0.049177;-2.658966;-2.152439;-2.386273;0.004721;0.270514;-3.256107;-3.999876;-0.122131;-0.038136
-0.019404;-0.106346;-0.051060;-2.665812;-2.173020;-2.399598;0.004721;0.270514;-3.318429;-4.022636;-0.122150;-0.047598
-0.009187;-0.100332;-0.060558;-2.683538;-2.183279;-2.397065;0.004721;0.270514;-3.242321;-4.018375;-0.122382;-0.042980
-0.003837;-0.106686;-0.054259;-2.687480;-2.174730;-2.404169;0.004721;0.270514;-3.272462;-4.027141;-0.122438;-0.045377
-0.004660;-0.112361;-0.054620;-2.682911;-2.170000;-2.409204;0.004721;0.270514;-2.710294;-3.985950;-0.122955;-0.025170
-0.012997;-0.121491;-0.064109;-2.661976;-2.172408;-2.401718;0.004721;0.270514;-2.072413;-3.965737;-0.123235;-0.015198
-0.026763;-0.101468;-0.046415;-2.631120;-2.224194;-2.417445;0.004721;0.270514;-2.332436;-4.020810;-0.122755;-0.038616
-0.028222;-0.085652;-0.053830;-2.628470;-2.245872;-2.422212;0.004721;0.270514;-2.700601;-4.044919;-0.122563;-0.046275
0.002190;-0.100441;-0.053701;-2.678454;-2.218704;-2.423887;0.017800;1.309442;-3.009552;-2.288978;-0.083429;-0.052510
0.011107;-0.094558;-0.043300;-2.701122;-2.214827;-2.430315;0.022795;1.706278;-2.799620;-2.684612;-0.092866;-0.037347
0.026339;-0.086582;-0.054346;-2.732633;-2.210687;-2.416036;0.024703;1.857855;-2.393676;-2.985062;-0.100098;-0.026701
0.035868;-0.086108;-0.054707;-2.742535;-2.201900;-2.403786;0.025432;1.915752;-2.066784;-3.222651;-0.105556;-0.025003
0.047978;-0.086847;-0.051200;-2.750263;-2.199885;-2.398171;0.025710;1.937867;-1.894669;-3.411700;-0.109658;-0.027905
0.052672;-0.085560;-0.050260;-2.744087;-2.204340;-2.394830;0.025817;1.946314;-1.887726;-3.563189;-0.112726;-0.034019
0.080392;-0.088553;-0.056425;-2.741453;-2.197178;-2.389769;0.025857;1.949540;-2.196163;-3.655857;-0.115289;-0.030661
0.084784;-0.093812;-0.047122;-2.739980;-2.185907;-2.393065;0.025873;1.950772;-2.421234;-3.753365;-0.116991;-0.038736
0.085805;-0.098960;-0.049643;-2.738778;-2.179146;-2.390927;0.025879;1.951242;-2.728095;-3.836184;-0.118208;-0.043285
0.088368;-0.103536;-0.051197;-2.743705;-2.167729;-2.387908;0.025881;1.951422;-2.834341;-3.882680;-0.119303;-0.043301
0.085642;-0.105729;-0.048386;-2.741876;-2.157042;-2.388594;0.025882;1.951491;-2.619660;-3.900179;-0.120316;-0.032336
0.091887;-0.104576;-0.050511;-2.753028;-2.158278;-2.385950;0.025882;1.951517;-2.461103;-3.926676;-0.120961;-0.031838
0.094955;-0.107820;-0.051532;-2.749481;-2.158426;-2.384258;0.025882;1.951526;-2.522514;-3.961729;-0.121308;-0.036093
0.087577;-0.106697;-0.066063;-2.735250;-2.160919;-2.361608;0.025882;1.951530;-2.368062;-3.966051;-0.121795;-0.031199
0.062792;-0.098110;-0.056259;-2.700945;-2.175461;-2.358878;0.025882;1.951531;-2.250286;-3.978265;-0.122079;-0.032253
0.062516;-0.096805;-0.051002;-2.707175;-2.178496;-2.364351;0.025882;1.951532;-2.034345;-3.979123;-0.122379;-0.031042
0.062462;-0.102817;-0.053341;-2.707242;-2.179632;-2.367278;0.025882;1.951532;-1.834942;-3.983833;-0.122569;-0.031937
0.072472;-0.116544;-0.056031;-2.704884;-2.189312;-2.371414;0.025882;1.951531;-1.633878;-3.976705;-0.122818;-0.032517
0.075624;-0.110806;-0.053201;-2.701199;-2.203583;-2.373831;0.025882;1.951531;-1.708785;-4.002344;-0.122703;-0.037471
0.075676;-0.107428;-0.053806;-2.698269;-2.210914;-2.375462;0.025882;1.951531;-1.276464;-3.975462;-0.123072;-0.032394
0.074487;-0.111196;-0.053913;-2.688824;-2.219223;-2.375956;0.025882;1.951530;-0.963736;-3.978654;-0.123120;-0.031790
0.076580;-0.124806;-0.054163;-2.679955;-2.223886;-2.376871;0.025882;1.951530;-0.953130;-4.000600;-0.122966;-0.037079
0.074988;-0.138252;-0.050123;-2.669608;-2.227357;-2.380805;0.025882;1.951530;-0.961439;-4.010023;-0.122920;-0.039073
0.082671;-0.157560;-0.053468;-2.663422;-2.231897;-2.382095;0.025882;1.951530;-1.342340;-4.037324;-0.122684;-0.051091
0.083134;-0.165681;-0.050935;-2.664264;-2.228599;-2.383548;0.025882;1.951529;-1.713571;-4.054254;-0.122541;-0.057828
0.088211;-0.177334;-0.053136;-2.674671;-2.219902;-2.383254;0.025882;1.951529;-1.999328;-4.060975;-0.122495;-0.057587
0.095802;-0.198434;-0.060974;-2.686325;-2.208522;-2.379365;0.025882;1.951529;-2.413986;-4.071603;-0.122403;-0.059241
0.095619;-0.206587;-0.053050;-2.696084;-2.188949;-2.376194;0.025882;1.951529;-2.690777;-4.072282;-0.122409;-0.061102
0.101658;-0.216852;-0.058931;-2.713418;-2.172448;-2.371757;0.025882;1.951528;-2.939034;-4.074627;-0.122394;-0.060028
0.101306;-0.225100;-0.054341;-2.723887;-2.151794;-2.368385;0.025882;1.951528;-3.106108;-4.071100;-0.122437;-0.059009
0.100836;-0.239796;-0.059348;-2.734751;-2.133328;-2.364977;0.025882;1.951528;-3.054301;-4.054191;-0.122614;-0.053383
0.102145;-0.249450;-0.055821;-2.744046;-2.118556;-2.360905;0.025882;1.951528;-2.994619;-4.047000;-0.122691;-0.049819
0.102684;-0.257992;-0.061512;-2.748821;-2.106848;-2.347192;0.025882;1.951527;-3.084932;-4.053107;-0.122633;-0.053408
0.101946;-0.267966;-0.053464;-2.751501;-2.096139;-2.349692;0.025882;1.951527;-3.122370;-4.049418;-0.122673;-0.051358
0.108458;-0.284099;-0.060620;-2.759810;-2.086657;-2.347826;0.025882;1.951527;-2.893290;-4.037825;-0.122791;-0.044907
0.111909;-0.293845;-0.054522;-2.762914;-2.082788;-2.347351;0.025882;1.951527;-2.484738;-4.013157;-0.123038;-0.030498
0.115479;-0.301564;-0.054736;-2.759978;-2.090553;-2.347227;0.025882;1.951526;-1.785669;-3.977386;-0.123389;-0.010521
0.114573;-0.309150;-0.053337;-2.740294;-2.107253;-2.348925;0.025882;1.951526;-1.388029;-3.981389;-0.123351;-0.011723
0.112808;-0.316669;-0.051967;-2.719797;-2.131246;-2.354495;0.025882;1.951526;-0.782559;-3.959829;-0.123559;-0.001892
0.112900;-0.322726;-0.054002;-2.698718;-2.163121;-2.357120;0.025882;1.951526;-0.247222;-3.954718;-0.123608;-0.000334
0.115321;-0.331647;-0.055975;-2.678463;-2.192280;-2.357193;0.025882;1.951526;0.149444;-3.959351;-0.123562;-0.003065
0.115163;-0.342967;-0.053763;-2.652954;-2.217359;-2.360972;0.025882;1.951525;0.426847;-3.967958;-0.123479;-0.007485
0.108975;-0.355543;-0.052854;-2.620415;-2.240520;-2.366273;0.025882;1.951525;0.432942;-3.991768;-0.123246;-0.020176
0.101619;-0.368136;-0.046289;-2.593889;-2.257343;-2.380586;0.025882;1.951525;0.593083;-3.990316;-0.123262;-0.019195
0.101693;-0.384205;-0.065081;-2.583548;-2.269494;-2.366301;0.025882;1.951525;1.028680;-3.972704;-0.123434;-0.010877
0.102282;-0.399137;-0.052044;-2.568645;-2.289001;-2.373756;0.025882;1.951524;1.195063;-3.987773;-0.123287;-0.018760
0.100693;-0.415385;-0.052729;-2.551475;-2.303999;-2.378998;0.025882;1.951524;1.310217;-3.995352;-0.123214;-0.022837
0.100297;-0.432141;-0.052338;-2.538505;-2.313943;-2.383623;0.025882;1.951524;1.450113;-3.997771;-0.123191;-0.023853
0.099870;-0.449386;-0.053331;-2.526175;-2.321784;-2.385839;0.025882;1.951524;1.570385;-4.001834;-0.123151;-0.025728
0.096403;-0.468472;-0.053417;-2.510426;-2.330374;-2.388454;0.025882;1.951524;1.595498;-4.011611;-0.123055;-0.030906
0.091331;-0.496488;-0.054274;-2.500703;-2.343699;-2.391282;0.025882;1.951523;1.707634;-4.007639;-0.123095;-0.028623
0.091447;-0.512923;-0.053054;-2.494650;-2.352429;-2.393406;0.025882;1.951523;1.739613;-4.015286;-0.123020;-0.032771
0.090983;-0.526356;-0.053131;-2.487746;-2.361127;-2.394698;0.025882;1.951523;1.842831;-4.013384;-0.123040;-0.031350
0.088314;-0.538177;-0.056154;-2.477568;-2.374115;-2.392372;0.025882;1.951523;1.972313;-4.012001;-0.123054;-0.030828
0.084741;-0.553015;-0.058800;-2.466754;-2.382386;-2.387993;0.025882;1.951522;2.055043;-4.015263;-0.123022;-0.032758
